problem,noise_level,sample_size,a0,a1,a2,a3,a4,b0,RMSE_obs_train,R2_obs_train,NRMSEr_obs_train,NRMSEm_obs_train,RMSE_obs_test,R2_obs_test,NRMSEr_obs_test,NRMSEm_obs_test,RMSE_clean_train,R2_clean_train,NRMSEr_clean_train,NRMSEm_clean_train,RMSE_clean_test,R2_clean_test,NRMSEr_clean_test,NRMSEm_clean_test,RMSE_obs_test_x0OOD,R2_obs_test_x0OOD,NRMSEr_obs_test_x0OOD,NRMSEm_obs_test_x0OOD,RMSE_obs_test_x1OOD,R2_obs_test_x1OOD,NRMSEr_obs_test_x1OOD,NRMSEm_obs_test_x1OOD,RMSE_obs_test_x0x1OOD,R2_obs_test_x0x1OOD,NRMSEr_obs_test_x0x1OOD,NRMSEm_obs_test_x0x1OOD,RMSE_clean_test_x0OOD,RMSE_clean_test_x1OOD,RMSE_clean_test_x0x1OOD,estimated_param_name,hessian_train_loss_autodiff,hessian_train_loss_finite_diff,estimated_param_mean,estimated_param_median,estimated_param_diameter,estimated_param_diameter_95,estimated_param_std,a5
new_1_2,0.001,32,,-2.199102241016144,,,,0.2476453020070516,11.646984,0.9564423,0.0759512,0.2467669,8.975138,0.96890175,0.03763978,0.26035836,11.646648,0.95646924,0.0758965,0.24690163,8.975917,0.96889526,0.037679017,0.26040116,38.616344,0.8839013,0.09715508,0.11529046,11.391238,0.9560184,0.04796674,0.32848108,33.543518,0.9075544,0.08633905,0.10274761,38.61183,11.390288,33.539375,a1,263.5337829589844,276.5980124283143,-2.1991027911435044,-2.199102812236088,9.64320751695169e-07,8.829144886313145e-07,2.115046385978729e-07,
new_1_2,0.001,128,,-0.1608673091087683,,,,0.0668349710710265,11.83787,0.95039696,0.049670726,0.29760608,11.35595,0.95534027,0.04590946,0.31343162,11.846963,0.95031846,0.049723897,0.2978084,11.352865,0.955364,0.04590607,0.31338903,51.59724,0.7971092,0.13034455,0.15603748,12.580102,0.9535962,0.05332571,0.3425312,57.315693,0.73638165,0.14778858,0.16924708,51.598835,12.58225,57.314613,a1,198.40042114257812,202.56390126860424,-0.16086268387873853,-0.1608627339063735,1.0165767438508055e-05,3.003050037114763e-06,9.98155583876471e-07,
new_1_2,0.001,512,,-0.3005699253610393,,,,0.0279556232608988,10.096926,0.9617177,0.042127155,0.27213067,10.08398,0.964099,0.04201791,0.27220255,10.098189,0.9617065,0.04212779,0.27220264,10.083002,0.964105,0.042023964,0.2721697,45.14234,0.8300408,0.11392878,0.13509221,11.076419,0.95891964,0.046441656,0.31135556,49.861404,0.80608356,0.12824701,0.15069833,45.13953,11.076997,49.860043,a1,184.72787475585938,185.93490216289865,-0.3005686477165189,-0.30056868326420205,2.5195142983047703e-06,1.5837496895043657e-06,4.378381856417708e-07,
new_1_2,0.001,2048,,-0.4255617869755418,,,,0.0585917849014631,9.0079155,0.97114444,0.0369571,0.23854652,9.036151,0.97144395,0.037476197,0.23662108,9.0072365,0.9711488,0.036974072,0.23853482,9.035703,0.97144425,0.037481666,0.23660448,39.910973,0.871606,0.10109326,0.119109236,10.423853,0.96588385,0.04372933,0.26931116,44.590553,0.836226,0.11434958,0.13408478,39.90896,10.423723,44.589767,a1,189.58067321777344,190.3996856356116,-0.42555697600726355,-0.42555701249457356,1.0306293748929551e-05,7.490614099436854e-06,1.7191872332009418e-06,
new_1_2,0.01,32,,-2.199102354359785,,,,0.2720524745533995,11.664137,0.9560967,0.07653965,0.24585891,9.052291,0.96838117,0.037554108,0.26241317,11.6497755,0.9564459,0.07591688,0.24696793,9.033363,0.96849585,0.037920166,0.26206774,38.42821,0.88511425,0.09623218,0.11471841,11.573342,0.9545906,0.04853362,0.3338512,33.35351,0.9086043,0.085512884,0.10215381,38.37653,11.543134,33.3053,a1,263.5337829589844,278.4684821829904,-2.1991027806785457,-2.199102781145541,9.587280533907006e-07,7.505643702110376e-07,1.8371716642639596e-07,
new_1_2,0.01,128,,-0.1608675286193915,,,,0.0636763358499499,11.772712,0.95096844,0.049198337,0.29620317,11.400126,0.955003,0.04588087,0.31426662,11.8470125,0.95031804,0.049724106,0.29780966,11.351862,0.95537186,0.045902014,0.31336135,51.556114,0.79743695,0.13029371,0.15590604,12.565412,0.9537719,0.052850906,0.34196222,57.298176,0.7366898,0.14755891,0.16920333,51.568237,12.57089,57.283726,a1,198.40042114257812,191.8992803950914,-0.16086259321597843,-0.1608627478882152,1.2177851640482462e-05,4.873474398481292e-06,1.282233211130202e-06,
new_1_2,0.01,512,,-0.3005698321091105,,,,0.0326080579511206,10.106618,0.9616653,0.04206187,0.27205074,10.107144,0.9639469,0.04197739,0.2728859,10.098321,0.9617055,0.04212834,0.2722062,10.079893,0.9641271,0.042011004,0.2720858,45.216755,0.8294747,0.1141385,0.13532542,11.10756,0.95865065,0.046231546,0.3121166,49.922626,0.80558306,0.12802474,0.15088816,45.184643,11.096572,49.90547,a1,184.72787475585938,191.04255494539757,-0.3005686541484032,-0.3005686669945934,2.6013213866860063e-06,2.0163656077043512e-06,4.2465816755752737e-07,
new_1_2,0.01,2048,,-0.4255617731551529,,,,0.0594848491169014,9.035926,0.9709687,0.036778927,0.23923168,9.062526,0.97130436,0.037396803,0.23735562,9.007241,0.9711488,0.03697409,0.23853494,9.035491,0.97144556,0.037480786,0.23659894,39.942665,0.8714155,0.10085348,0.11921035,10.447215,0.96573776,0.04344084,0.26986355,44.610794,0.8360399,0.11426494,0.13414696,39.917606,10.427949,44.598507,a1,189.58067321777344,197.3793823140113,-0.42555661390337063,-0.42555647168021843,1.2759937761119833e-05,8.852140442661138e-06,2.1195137439632795e-06,
new_1_2,0.1,32,,-2.199102226898657,,,,0.5161266606689923,13.114957,0.942219,0.08395385,0.26291364,12.252953,0.94343,0.043754756,0.35273388,11.958189,0.95410925,0.07792669,0.2535061,9.924729,0.96197176,0.041661933,0.28792724,37.233704,0.8933401,0.08689864,0.11105206,15.165992,0.92307276,0.060336597,0.43905088,32.17242,0.9153281,0.07835595,0.098422796,36.029827,13.223078,30.972946,a1,263.5337829589844,275.58127788901095,-2.199102825728371,-2.1991028232185146,1.0411769970630758e-06,7.989890362658514e-07,1.8902386025842113e-07,
new_1_2,0.1,128,,-0.160867907027914,,,,0.0320962992542567,12.759765,0.943504,0.049777202,0.32360882,13.396542,0.9388337,0.049906377,0.36484572,11.852154,0.9502749,0.049745686,0.2979389,11.346684,0.95541257,0.045881078,0.3132184,51.52604,0.79831827,0.12617831,0.15574445,13.934452,0.9445996,0.05439611,0.37735626,57.481647,0.737332,0.1416121,0.16982523,51.262455,12.4611845,56.975067,a1,198.40042114257812,198.2179447566068,-0.16086263840133205,-0.16086272523672868,1.1769319566701242e-05,3.95374209460897e-06,1.1776286019574334e-06,
